date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,AnnouncedDate,MACD_macd,MACD_macdsignal,MACD_macdhist,RSI10,BOLL_Upper,BOLL_Middle,BOLL_Lower,CCI10,DX10,SMA5,SMA10,SMA20,date_before_announced_0,date_before_announced_1,date_before_announced_2,date_before_announced_3,date_before_announced_4,date_before_announced_5,date_before_announced_6,date_before_announced_7,date_before_announced_8,date_before_announced_9,date_before_announced_10,date_before_announced_11,date_before_announced_12,date_before_announced_13,date_before_announced_14,date_before_announced_15,date_before_announced_16,date_before_announced_17,date_before_announced_18,date_before_announced_19,MeasuringReasonCode_1,MeasuringReasonCode_2,MeasuringReasonCode_3,MeasuringReasonCode_4,MeasuringReasonCode_5,MeasuringReasonCode_6
2023-06-14,1519,-0.49753941507045,-0.4676340331789219,-0.41818181818181815,-0.4897959183673469,-0.43478260869565216,-0.8611111111111112,0.046511627906976744,-0.49307708204174416,2023-06-29,-0.2670831547344251,0.33424077747002956,-0.47684639834686005,-0.741917604420508,-0.565459348232947,-0.5238095238095234,-0.07848259537249445,-1.3877081216802372,-0.7794707727785252,-0.5238095238095234,0.006088280060880699,0.05055087491898863,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-15,1519,0.49811248700157656,0.5215739604002289,-0.6,0.04081632653061224,-0.4782608695652174,0.3611111111111111,2.186046511627907,0.6792036922229111,2023-06-29,-0.2594757897329766,0.08827703053887379,-0.3321670992833894,-0.0021800361043959136,-0.28019783138237453,-0.3741496598639459,-0.2586380036133095,-0.43136990099420014,-0.4310532298312351,-0.3741496598639459,0.16438356164383425,0.15294880103694172,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-16,1519,2.0612477176465545,2.2698162106357778,0.41818181818181815,1.1428571428571428,0.782608695652174,1.3055555555555556,1.7209302325581395,2.5071295722256663,2023-06-29,-0.05982406629691947,-0.028639283282936565,-0.046223568568052036,0.3820895372682574,0.36500557039908726,-0.04761904761904688,-0.693806900031733,1.3705389863133075,0.03489138690740867,-0.04761904761904688,0.2557077625570759,0.2618276085547637,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-19,1519,0.5194513578601186,0.661795452991488,0.9272727272727272,0.9795918367346939,0.8260869565217391,0.8055555555555556,-0.6976744186046512,0.751808224839843,2023-06-29,-0.07574120367069176,-0.12853871049224022,-0.008517521089836819,-0.10308110911017826,0.6879624619150354,0.31972789115646205,-0.43985851015870264,0.7777480333234869,0.03489138690740908,0.31972789115646205,0.3165905631659036,0.3460790667530786,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-20,1519,-0.19002280815170608,-0.08977424146390768,0.6,0.6122448979591837,0.782608695652174,0.9166666666666666,0.32558139534883723,-0.19342839429634223,2023-06-29,-0.10647327557033744,-0.22075015657919922,0.008517521089836819,-0.051497956376984816,0.919004073664402,0.7414965986394548,0.109628907308255,0.2290748541517601,-0.026399115770004502,0.7414965986394548,0.4261796042617943,0.41088788075178234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-21,1519,-0.46850901061925787,-0.36487813575152767,0.6727272727272727,0.6530612244897959,0.9565217391304348,1.0833333333333333,0.4186046511627907,-0.5228352965488737,2023-06-29,-0.1344716617985445,-0.30571782573071404,0.024568294845866402,0.02931639519041516,0.8756646951232167,1.2176870748299313,1.2913809230129032,0.12079328614992027,-0.009243749758377167,1.2176870748299313,0.5296803652968007,0.47440051847051173,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-26,1519,-0.5725069574687814,-0.46807778538328865,0.7454545454545455,0.6938775510204082,0.9565217391304348,0.9722222222222222,-0.046511627906976744,-0.6068746986291934,2023-06-29,-0.2299622268982716,-0.41188531467465495,-0.022406303376774957,-0.09641658686615386,0.8518621261738407,1.3673469387755128,1.681578050367039,-0.05790730328528124,0.009243749758377167,1.3673469387755128,0.6636225266362211,0.5301360985093964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-27,1519,0.07500041186071525,0.16194563441495655,0.7090909090909091,0.8163265306122449,0.21739130434782608,0.027777777777777776,-1.441860465116279,0.330233519322174,2023-06-29,-0.5871021441195592,-0.639664529721601,-0.2918737813452385,-1.0168841272150457,0.8026612443779121,1.0544217687074837,1.0483521800063271,-0.6067920017997422,-1.0516874977448603,1.0544217687074837,0.6697108066971053,0.5780946208684378,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-28,1519,-0.5676287799137415,-0.5080300005969716,0.2,0.0,0.0,-0.3611111111111111,-0.5116279069767442,-0.5052007990631673,2023-06-29,-1.0052619712770747,-0.9891392541075934,-0.5615269063564301,-1.323832465547328,0.7738885025878821,0.7687074829931987,0.44038628698432364,-1.270781333549533,-1.299830807158595,0.7687074829931987,0.7062404870623998,0.6027219701879448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-29,1519,-0.8169892247312535,-0.7513363202009677,-0.16363636363636364,-0.2857142857142857,0.0,-0.027777777777777776,0.6976744186046512,-0.8651925328924709,2023-06-29,-1.2845862001833572,-1.380440322927766,-0.654205794392044,-1.0668310850160179,0.5768660255155655,0.5374149659863934,0.2688284265846098,-1.429200378344117,-1.2998308071585951,0.5374149659863934,0.7914764079147608,0.6351263771872967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
